rDNA_subunit	Background_Depth	rDNA_Depth	rDNA_CN	Type
18mS	24.22	13.8352214212152	0.571231272552238	exon
18mS	3.47	13.8352214212152	3.98709551043666	intron
18mS	13.85	13.8352214212152	0.999293710452524	meanEX-IN
5.8S	24.22	486.426751592357	20.0836809080247	exon
5.8S	3.47	486.426751592357	140.180620055434	intron
5.8S	13.85	486.426751592357	35.1337487607336	meanEX-IN
28S	24.22	33.9775571002979	1.40287188688265	exon
28S	3.47	33.9775571002979	9.79180319893311	intron
28S	13.85	33.9775571002979	2.45413919106522	meanEX-IN
18S_150	24.22	12.9733333333333	0.535645472061656	exon
18S_150	3.47	12.9733333333333	3.73871277617674	intron
18S_150	13.85	12.9733333333333	0.937041049717104	meanEX-IN
28S_150	24.22	47.1066666666667	1.94494907789706	exon
28S_150	3.47	47.1066666666667	13.5754082612872	intron
28S_150	13.85	47.1066666666667	3.40243168412183	meanEX-IN
5S	25.67	67.2148760330578	2.6184213491647	exon
5S	3.86	67.2148760330578	17.413180319445	intron
5S	14.77	67.2148760330578	4.55231127890673	meanEX-IN
45S	24.22	42.3300340743145	1.74773055633008	exon
45S	3.47	42.3300340743145	12.198857081935	intron
45S	13.85	42.3300340743145	3.05742391291546	meanEX-IN
45S_457	24.22	186.82932166302	7.71384482506276	exon
45S_457	3.47	186.82932166302	53.8413030729164	intron
45S_457	13.85	186.82932166302	13.4943533162167	meanEX-IN
